Punishment	User ID	IPs and alts	Expires
LOCK	kirkburn	96.31.193.38,209.239.102.150,216.49.111.157,96.31.193.241,209.239.104.12,96.31.201.160,96.31.195.166,216.49.112.117,216.49.124.226,96.31.205.161,209.239.104.6,209.239.105.84,209.239.104.131,96.31.205.43,96.31.199.63,209.239.102.203	1557924308110	Permalocked as Kirkburn
LOCK	lugianna	216.49.124.231	1558237450065	Permalocked as Lugianna
LOCK	melbavenice	216.49.124.15	1558407432195	Permalocked as Melba Venice
LOCK	lugianightwing	209.239.105.219	1558887781944	Permalocked as Lugia Nightwing
LOCK	fastfoecomet	96.31.199.54,209.239.102.74	1559143523983	Permalocked as Fast Foe Comet
LOCK	nyancookiecozmo	24.45.245.83	1559676151718	Permalocked as nyan cookie cozmo
LOCK	teresaann	96.31.205.89,209.239.102.230	1559715272569	Permalocked as Teresa Ann -
LOCK	legendlunala	209.239.102.96,209.239.107.105	1560200556517	Permalocked as Legend Lunala+
LOCK	southiesciana	209.239.102.208	1560220062292	Permalocked as Southie Sciana
LOCK	ravyne6		1558518391324	Permalocked as Ravyne6 (‽)
LOCK	finalforce2		1558963700749	Permalocked as Final Force 2
LOCK	insignicumlaude		1559143155525	Permalocked as Insigni Cum Laude
LOCK	platinumpaoli		1559574835041	Permalocked as Platinum Paoli
LOCK	godopokemon	183.83.179.135	1558077900061	
LOCK	princesspaoli	209.239.104.177	1560854947699	Permalocked as Princess Paoli
LOCK	horizoncimaron	216.49.124.95	1562860901919	Permalocked as Horizon Cimaron
LOCK	acquiescence3	96.31.193.43	1564735617430	Permalocked as Acquiescence3
LOCK	nyancookiecozmo	24.45.245.83	1566138973346	Permalocked as nyan cookie cozmo
BAN	nyancookiecozmo	24.45.245.83	1564151842228	advertising
LOCK	soelliesei	96.31.195.21	1579447959679	Permalocked as Soellie Sei
LOCK	kirkburn	216.49.111.51	1581071402812	Permalocked as Kirkburn★
LOCK	kirkburn	216.49.111.51	1581071748850	Permalocked as Kirkburn★
LOCK	kirkburn	216.49.111.51	1581071748850	Permalocked as Kirkburn★
LOCK	kirkburn	216.49.111.51	1581081113757	Permalocked as Kirkburn★
LOCK	kirkburn	216.49.125.165	1581103544968	Permalocked as Kirkburn★
LOCK	kirkburn	216.49.125.165	1581115777182	Permalocked as Kirkburn★
LOCK	kirkburn	216.49.125.165	1581122698278	Permalocked as Kirkburn★
LOCK	dragonchampraihan	24.45.245.83	1581161057778	Permalocked as DragonChampRaihan
LOCK	teresaann	216.49.125.165	1581219609354	Permalocked as Teresa Ann
LOCK	teresaann	216.49.125.165	1581240623130	Permalocked as Teresa Ann
LOCK	teresaann	216.49.125.165	1581243145606	Permalocked as Teresa Ann
LOCK	teresaann	216.49.125.165	1581243145606	Permalocked as Teresa Ann
LOCK	teresaann	216.49.125.165	1581243406355	Permalocked as Teresa Ann
LOCK	teresaann	216.49.125.165	1581243406355	Permalocked as Teresa Ann
BAN	aromachiere	216.49.125.96	1579312526374	Stfu
LOCK	kirkburn	216.49.121.160	1581301435319	Permalocked as Kirkburn★
LOCK	kirkburn	216.49.121.160	1581304603994	Permalocked as Kirkburn★
LOCK	kirkburn	216.49.121.160	1581304603994	Permalocked as Kirkburn★
LOCK	kirkburn	216.49.121.160	1581307362091	Permalocked as Kirkburn★
LOCK	kirkburn	216.49.121.160	1581307362091	Permalocked as Kirkburn★
LOCK	kirkburn	216.49.121.160	1581326657196	Permalocked as Kirkburn★
LOCK	kirkburn	216.49.121.160	1581326849777	Permalocked as Kirkburn★
LOCK	kirkburn	216.49.121.160	1581326849777	Permalocked as Kirkburn★
LOCK	kirkburn	216.49.121.160	1581414231716	Permalocked as Kirkburn★
LOCK	kirkburn	216.49.121.160	1581414968735	Permalocked as Kirkburn★
LOCK	kirkburn	216.49.121.160	1581414968735	Permalocked as Kirkburn★
LOCK	kirkburn	216.49.121.160	1581415212058	Permalocked as Kirkburn★
LOCK	kirkburn	216.49.121.160	1581415212058	Permalocked as Kirkburn★
LOCK	kirkburn	216.49.121.160	1581428623640	Permalocked as Kirkburn★
LOCK	kirkburn	216.49.121.160	1581460337798	Permalocked as Kirkburn★
LOCK	kirkburn	216.49.121.160	1581471294064	Permalocked as Kirkburn★
LOCK	kirkburn	216.49.121.160	1581476771983	Permalocked as Kirkburn★
LOCK	kirkburn	216.49.121.160	1581492522865	Permalocked as Kirkburn★
LOCK	skiyomichiere	96.31.193.170	1581558187608	Permalocked as Skiyomi Chiere
LOCK	skiyomichiere	96.31.193.170	1581559037141	Permalocked as Skiyomi Chiere
LOCK	skiyomichiere	96.31.193.170	1581559037141	Permalocked as Skiyomi Chiere
LOCK	kirkburn	96.31.193.170	1581559216650	Permalocked as Kirkburn
LOCK	kirkburn	96.31.193.170	1581582397745	Permalocked as Kirkburn★
LOCK	kirkburn	96.31.193.170	1581586646048	Permalocked as Kirkburn★
LOCK	kirkburn	96.31.193.170	1581586646048	Permalocked as Kirkburn★
LOCK	kirkburn	96.31.193.170	1581587161187	Permalocked as Kirkburn★
LOCK	kirkburn	96.31.193.170	1581587161187	Permalocked as Kirkburn★
LOCK	kirkburn	96.31.193.170	1581587779795	Permalocked as Kirkburn★
LOCK	kirkburn	96.31.193.170	1581587779795	Permalocked as Kirkburn★
LOCK	kirkburn	96.31.193.170	1581622546450	Permalocked as Kirkburn★
LOCK	kirkburn	209.239.110.246	1581643736443	Permalocked as Kirkburn★
LOCK	shuppetem	106.211.240.121	1579350792651	yeah waste of my god damn time
LOCK	skiyomimelba	96.31.194.208	1579351010762	
LOCK	skiyomimelba	96.31.194.208	1579351010762	
LOCK	skiyomimelba	96.31.194.208	1579351010762	
LOCK	skiyomimelba	96.31.194.208	1579351010762	
LOCK	shuppetem	106.211.240.121	1579350792651	yeah waste of my god damn time
LOCK	shuppetem	106.211.240.121	1579350792651	yeah waste of my god damn time
LOCK	shuppetem	106.211.240.121	1579350792651	yeah waste of my god damn time
LOCK	shuppetem	106.211.240.121	1579350792651	yeah waste of my god damn time
LOCK	shuppetem	106.211.240.121	1579350792651	yeah waste of my god damn time
LOCK	shuppetem	106.211.240.121	1579350792651	yeah waste of my god damn time
LOCK	shuppetem	106.211.240.121,alphadamon	1579350792651	yeah waste of my god damn time
LOCK	shuppetem	106.211.240.121	1579350792651	yeah waste of my god damn time
LOCK	skiyomimelba	96.31.194.208	1579351010762
LOCK	skiyomimelba	96.31.194.208	1579351010762
